Name,Style,Strengths,Weaknesses
Charlie Brenneman,well-rounded wrestler,"solid grappling, cardio, adaptability","striking power, defensive vulnerabilities"
Jason High,pressure wrestler,"takedown ability, ground control, stamina","striking variety, defensive grappling"
Mario Miranda,submission specialist,"grappling skills, submission transitions, endurance","striking defense, stand-up game"
Takanori Gomi,brawler,"powerful striking, aggressive pace, knockout ability","defensive vulnerabilities, cardio issues, susceptibility to grappling"
Renzo Gracie,submission specialist,"elite grappling, extensive submission arsenal, strong positional control","striking limitations, aging physicality, potential takedown defense gaps"
Cyrille Diabate,striker,"technical striking, reach advantage, effective footwork","grappling defense, lack of wrestling, potential cardio concerns in later rounds"
Waylon Lowe,pressure wrestler,"relentless takedown attempts, ground control, stamina","limited striking, vulnerability to counter-strikes, potential submission risks"
Claude Patrick,well-rounded,"versatile skill set, effective grappling and striking, good fight IQ","lack of finishing ability, inconsistent aggression, potential defensive lapses"
Travis Browne,striker,"powerful striking, athleticism, effective kicks","defensive grappling, cardio issues, susceptibility to leg kicks"
Chris Camozzi,technical striker,"solid boxing, good footwork, experience in the cage","grappling defense, inconsistent output, vulnerability to pressure"
James Hammortree,brawler,"aggressive striking, knockout power, resilience","defensive lapses, limited grappling skills, stamina concerns"
Josh Bryant,pressure wrestler,"strong takedowns, relentless pace, ground control","striking defense, limited striking variety, fatigue in later rounds"
Kyle Noke,well-rounded,"versatile skill set, effective grappling and striking, adaptability","inconsistent performance, occasional lack of aggression, defensive vulnerabilities"
Brad Tavares,striker,"solid striking technique, good footwork, effective defensive skills","limited grappling offense, can be outpaced by faster opponents"
Seth Baczynski,grappler,"strong wrestling base, effective ground control, good submission skills","striking defense can be lacking, struggles against high-level strikers"
Mark Holst,well-rounded,"versatile skill set, balanced striking and grappling, good fight IQ","lacks knockout power, can be inconsistent in performance"
Jamie Yager,striker,"explosive striking power, aggressive fighting style, good knockout ability","defensive vulnerabilities, can be overly reliant on striking"
Rich Attonito,pressure wrestler,"relentless pressure, strong takedown ability, effective ground-and-pound","limited striking range, can tire out in prolonged exchanges"
Court McGee,pressure striker,"high cardio, relentless pace, solid grappling defense","limited finishing ability, can be outpaced by faster strikers"
Kris McCray,grappling specialist,"strong wrestling base, effective submissions, good control on the ground","striking is underdeveloped, can struggle against high-level strikers"
Karlos Vemola,power wrestler,"explosive takedowns, heavy hands, strong ground and pound","cardio issues, can be susceptible to submissions"
David Branch,well-rounded technician,"versatile striking, solid grappling, experience in high-pressure situations","can be too cautious, may struggle against aggressive fighters"
Ricardo Romero,submission artist,"excellent grappling skills, proficient in submissions, good fight IQ","striking defense can be lacking, tends to rely on ground game"
Charles Oliveira,submission specialist,"exceptional grappling, diverse submission arsenal, high fight IQ","vulnerability to striking pressure, inconsistent striking defense"
Christian Morecraft,brawler,"powerful striking, aggressive fighting style, resilience","limited grappling skills, susceptibility to counter-strikes"
Todd Brown,technical striker,"precise striking, good footwork, effective distance management","lack of grappling proficiency, can be outpaced by faster opponents"
Amilcar Alves,pressure fighter,"high volume striking, relentless pace, strong cardio","defensive lapses, can tire in later rounds"
James Toney,boxer,"elite boxing skills, head movement, powerful punches","limited grappling ability, struggles against takedowns"
TJ Waldburger,submission specialist,"excellent grappling, strong submission game, durability","striking defense, susceptibility to powerful strikers, inconsistent pacing"
David Mitchell,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking versatility, can be outpaced, struggles against counter-strikers"
Rafael Natal,well-rounded striker,"effective striking, solid grappling, good fight IQ","defensive lapses, can be outmuscled, inconsistent output"
Mark Hunt,brawler,"devastating knockout power, strong chin, experience","limited grappling, slower footwork, cardio concerns in later rounds"
Sean McCorkle,grappling specialist,"high-level grappling, effective submissions, good positional control","striking limitations, can be taken down, lacks speed"
Pat Audinwood,striker,"powerful punches, good footwork, effective counter-striking","defensive grappling, stamina issues, limited ground game"
Fabio Maldonado,brawler,"durability, relentless pressure, strong boxing skills","vulnerable to takedowns, lacks versatility, can be outpaced"
Curt Warburton,technical striker,"precise striking, solid defensive skills, good fight IQ","limited grappling, can struggle against aggressive fighters, lacks knockout power"
Paul Sass,submission specialist,"excellent grappling, creative submission techniques, strong positional control","striking defense, can be taken down, slow pace on feet"
Rob Broughton,pressure wrestler,"strong wrestling base, effective ground control, good cardio","striking is underdeveloped, can be outmaneuvered, struggles against high-level strikers"
Vinicius Queiroz,striker,"powerful striking, effective leg kicks, good distance management","limited grappling, susceptibility to takedowns, inconsistent cardio"
Dongi Yang,pressure wrestler,"strong takedown ability, relentless pace, effective ground control","striking defense, limited striking output, can tire in later rounds"
Jake Shields,submission specialist,"high-level grappling, excellent submission skills, strong fight IQ","striking vulnerability, slow pace, can struggle against aggressive strikers"
Carlos Eduardo Rocha,grappler,"solid wrestling, effective transitions, strong positional control","limited striking arsenal, can be outpaced, struggles against high-pressure fighters"
Pascal Krauss,technical striker,"sharp boxing, good footwork, effective counter-striking","defensive grappling, can be taken down, sometimes hesitant to engage"
Mark Scanlon,striker,"powerful punches, good footwork, effective distance management","defensive grappling, stamina issues, limited submission skills"
Alexandre Ferreira,submission specialist,"excellent grappling, high-level jiu-jitsu, strong positional control","striking defense, vulnerability to stand-up exchanges, cardio concerns in later rounds"
TJ O'Brien,pressure wrestler,"relentless takedown attempts, strong clinch work, effective ground and pound","striking output, susceptibility to counter-strikes, limited striking variety"
Mike Lullo,brawler,"aggressive fighting style, knockout power, resilience in exchanges","defensive lapses, poor fight IQ, struggles with technical fighters"
Edson Barboza,kickboxer,"explosive kicks, diverse striking arsenal, exceptional timing","grappling defense, susceptibility to pressure, occasional cardio issues"
Maiquel Falcao,brawler,"powerful striking, aggressive forward pressure, strong clinch game","defensive vulnerabilities, stamina issues, limited grappling"
Fredson Paixao,submission specialist,"high-level grappling, excellent submission skills, experience in various positions","striking defense, tendency to engage on the ground, cardio limitations"
Pablo Garza,technical striker,"diverse striking arsenal, good footwork, effective range management","grappling defense, susceptibility to pressure fighters, inconsistent fight IQ"
Will Campuzano,well-rounded,"balanced skill set, adaptability in fights, solid boxing fundamentals","lacks knockout power, can be outpaced, defensive lapses"
Nick Pace,scrambler,"quick transitions, effective takedown defense, high pace and activity","striking power, durability concerns, occasional overcommitment"
Sako Chivitchian,striker,"powerful punches, excellent footwork, strong defensive skills","limited grappling, susceptibility to takedowns, inconsistent cardio"
Kyle Watson,grappler,"solid wrestling base, effective submissions, good control on the ground","striking defense, limited striking output, can be outpaced"
Ian Loveland,well-rounded,"versatile striking, solid grappling, good fight IQ","lack of finishing ability, can struggle against pressure fighters, inconsistent performance"
Tyler Toner,striker,"technical striking, good range management, effective counterpunching","vulnerability to grappling, can be outmuscled, occasional over-reliance on striking"
Cody McKenzie,submission specialist,"excellent grappling, dangerous guillotine choke, relentless pace","striking defense, limited stand-up game, can be taken down easily"
Aaron Wilkinson,well-rounded striker,"versatile striking, good cardio, solid grappling defense","inconsistent output, struggles against high-pressure fighters"
Nam Phan,technical striker,"excellent boxing skills, high fight IQ, effective counter-striking","limited grappling, can be outpaced by aggressive opponents"
Jonathan Brookins,submission specialist,"strong grappling, effective submissions, good at controlling the pace","struggles with striking exchanges, can be taken down"
Michael Johnson,explosive striker,"fast hands, knockout power, strong takedown defense","inconsistent performance, can be outmaneuvered in longer fights"
John Makdessi,dynamic striker,"creative striking, solid footwork, good defensive skills","vulnerable to grappling, can be outworked by pressure fighters"
Sean Pierson,striker,"powerful punches, good footwork, effective counter-striking","defensive grappling, stamina issues, limited submission skills"
Jesse Bongfeldt,well-rounded,"solid grappling, versatile striking, good fight IQ","inconsistent pace, vulnerability to pressure, limited knockout power"
Antonio McKee,pressure wrestler,"strong takedowns, relentless pace, effective ground control","striking defense, slow foot speed, can be outpaced by faster fighters"
Diego Nunes,technical striker,"precise striking, excellent movement, strong cardio","grappling defense, susceptibility to power shots, can struggle against aggressive opponents"
Dustin Poirier,brawler,"heavy hands, resilience, well-rounded skill set","defensive lapses, grappling vulnerability, can be drawn into brawls"
Josh Grispi,brawler,"powerful striking, aggressive pace, solid grappling","defensive vulnerabilities, stamina issues, susceptibility to submissions"
Chris Cariaso,technician,"well-rounded skill set, effective striking, strong fight IQ","limited finishing ability, can struggle against pressure, not the most explosive"
Willamy Freire,submission specialist,"high-level grappling, excellent submission skills, strong positional control","striking defense concerns, can be taken down, slower pace in stand-up exchanges"
Rani Yahya,grappling specialist,"elite jiu-jitsu, relentless takedown attempts, strong cardio","striking limitations, can be outpaced, defensive striking gaps"
Kenny Robertson,pressure wrestler,"strong wrestling base, effective ground control, good cardio","striking inconsistency, can be outmaneuvered, limited knockout power"
Norifumi Yamamoto,striker-wrestler,"explosive speed, powerful striking, strong wrestling base","injury-prone, inconsistent cardio, limited ground game"
Demetrious Johnson,well-rounded technician,"elite grappling, exceptional footwork, high fight IQ","size disadvantage against larger opponents, occasional over-reliance on technique"
Chad Mendes,pressure wrestler,"powerful takedowns, relentless pace, strong striking","defensive grappling vulnerabilities, susceptibility to submissions"
Donald Cerrone,versatile striker,"dynamic striking, effective kicks, experience in various styles","tendency to start slow, mental resilience under pressure"
Miguel Torres,submission specialist,"high-level grappling, creative submissions, excellent movement","striking defense issues, can be overly aggressive at times"
Antonio Banuelos,brawler,"aggressive striking, high volume, durable chin","limited grappling, defensive vulnerabilities, stamina concerns"
Maciej Jewtuszko,technical striker,"precise striking, effective footwork, good distance management","grappling defense, can be hesitant, limited power"
Zhang Tiequan,submission specialist,"excellent grappling, strong submission game, good positional control","striking defense, cardio issues, can struggle against wrestlers"
Tom Blackledge,pressure wrestler,"strong takedowns, relentless pace, effective ground control","striking limitations, can be outpaced, susceptibility to submissions"
Nick Ring,counter striker,"good timing, effective counters, solid defensive skills","low output, can be overly cautious, grappling weaknesses"
Riki Fukuda,grappler,"strong wrestling base, effective ground control, solid cardio","limited striking output, susceptible to submissions, can be outpaced"
Brian Ebersole,versatile striker,"creative striking, good fight IQ, strong defensive skills","inconsistent takedown defense, can be overly reliant on striking, durability concerns"
Takeya Mizugaki,pressure striker,"high volume striking, excellent footwork, strong chin","vulnerable to counterattacks, limited grappling, can struggle against wrestlers"
Reuben Duran,brawler,"powerful punches, aggressive style, good resilience","defensive lapses, lacks grappling finesse, can tire in later rounds"
Shane Roller,wrestler,"strong takedowns, effective ground-and-pound, good conditioning","limited striking technique, can be outmaneuvered, struggles against high-level grapplers"
Danny Castillo,pressure wrestler,"strong grappling, relentless pace, effective striking","limited finishing ability, susceptibility to submissions"
Brian Bowles,technical striker,"quick hands, solid footwork, good fight IQ","defensive vulnerabilities, inconsistent cardio"
Damacio Page,brawler,"powerful striking, aggressive style, high durability","defensive lapses, tendency to engage in wild exchanges"
Chris Weidman,well-rounded fighter,"strong wrestling, effective striking, good fight strategy","injury-prone, occasionally slow starts"
Erik Koch,striker with grappling,"dynamic striking, solid grappling defense, versatility","inconsistent performance, struggles against elite competition"
Raphael Assuncao,technical striker,"excellent footwork, diverse striking arsenal, strong grappling defense","occasionally hesitant, can struggle against aggressive opponents"
Constantinos Philippou,brawler,"powerful punches, resilience, effective in close range","defensive lapses, limited grappling skills"
Joseph Benavidez,all-around fighter,"high-level wrestling, quick striking, strong cardio","vulnerability to submissions, can be outpaced by faster fighters"
Anthony Njokuani,striker,"dynamic kicks, knockout power, good distance management","grappling defense can be exploited, inconsistent fight IQ"
Kamal Shalorus,pressure wrestler,"strong takedowns, relentless pace, effective ground control","limited striking, can tire in later rounds"
Urijah Faber,scrappy wrestler,"Exceptional wrestling base, high cardio, effective striking, and strong grappling transitions.","Vulnerability to powerful strikers, aging speed and reflexes, and occasional defensive lapses."
Eddie Wineland,striker,"Sharp boxing skills, good footwork, and knockout power in both hands.","Defensive vulnerabilities, susceptibility to grappling exchanges, and inconsistent fight pace."
Michael McDonald,technical striker,"Excellent boxing technique, powerful kicks, and strong fight IQ.","Tendency to engage in brawls, grappling defense can be exploited, and injury history."
Edwin Figueroa,pressure fighter,"Relentless pressure, durable chin, and effective combinations.","Struggles against counter-strikers, limited grappling skills, and can be overly aggressive."
Alex Caceres,creative striker,"Unorthodox striking, adaptability, and solid grappling defense.","Inconsistent performance, can be outpaced by more aggressive fighters, and defensive lapses."
Mackens Semerzier,submission specialist,"excellent grappling, versatile submissions, strong positional control","limited striking power, can be taken down, struggles against aggressive strikers"
Chan Sung Jung,brawler,"high volume striking, durability, effective counter-punching","defensive lapses, can be outpaced, susceptible to takedowns"
Yves Jabouin,technical striker,"precise striking, good footwork, solid defensive skills","limited grappling, can be outmuscled, sometimes overly cautious"
Charlie Valencia,pressure wrestler,"strong takedown ability, relentless pace, effective ground control","striking defense issues, can tire late in fights, limited striking output"
Benson Henderson,well-rounded technician,"high fight IQ, effective in all areas, strong cardio","can be too tactical, sometimes lacks finishing instinct, struggles against elite wrestlers"
Jose Aldo,striker,"explosive speed, powerful leg kicks, excellent takedown defense","can be overly cautious, stamina issues in later rounds"
Cole Escovedo,well-rounded,"solid grappling, effective striking, good fight IQ","inconsistent performance, struggles against elite competition"
Renan Barao,technical striker,"dynamic footwork, versatile striking, strong submission skills","defensive lapses, can be outpaced by aggressive fighters"
Francisco Rivera,brawler,"heavy hands, aggressive style, knockout power","defensive vulnerabilities, limited grappling skills"
Scott Jorgensen,pressure wrestler,"relentless pace, strong wrestling base, cardio","striking defense, can be outmuscled by larger opponents"
Ken Stone,submission specialist,"excellent grappling skills, strong submission game, good cardio","limited striking power, can be outpaced, struggles against powerful wrestlers"
Clay Harvison,pressure striker,"high output striking, relentless aggression, solid chin","defensive vulnerabilities, can be outmaneuvered, lacks elite wrestling"
Justin Edwards,well-rounded fighter,"versatile skill set, effective in both striking and grappling, good fight IQ","inconsistent performance, can be hesitant to engage, lacks knockout power"
Ryan McGillivray,technical striker,"precise striking, good footwork, strong defensive skills","limited finishing ability, can be outwrestled, sometimes overly cautious"
Shamar Bailey,wrestling-based fighter,"strong takedown ability, effective ground control, good conditioning","striking is underdeveloped, can be too focused on grappling, slow to adapt"
Danny Downes,striker,"good footwork, effective striking range, solid cardio","limited grappling, defensive vulnerabilities, inconsistent power"
Chuck O'Neil,pressure wrestler,"strong takedown ability, relentless pace, good ground control","striking defense issues, limited striking output, stamina concerns in later rounds"
Chris Cope,brawler,"aggressive striking, knockout power, high energy","defensive lapses, susceptibility to submissions, lack of technical finesse"
Anthony Pettis,dynamic striker,"creative striking, excellent kicks, strong submission game","tendency to get taken down, occasional defensive lapses, can be outpaced"
Ramsey Nijem,well-rounded fighter,"versatile skill set, effective grappling and striking, good fight IQ","inconsistent performance, struggles against elite competition, can be too passive"
Tony Ferguson,unorthodox striker,"high volume striking, relentless pace, excellent cardio, versatile grappling","defensive lapses, susceptibility to leg kicks, unorthodox techniques can lead to openings"
Aaron Rosa,brawler,"heavy hands, aggressive fighting style, strong chin, willingness to engage","defensive vulnerabilities, limited technical striking, cardio issues in later rounds"
Jason Young,technical striker,"precise striking, solid footwork, good fight IQ, effective countering","grappling defense can be exploited, sometimes overly cautious, lacks knockout power"
James Head,pressure wrestler,"strong takedown ability, relentless pressure, effective ground control, cardio for grappling","striking defense can be lacking, tends to rely on wrestling, can be outpaced by strikers"
Vagner Rocha,submission specialist,"high-level grappling, excellent submission skills, good positional awareness, strong transitions","striking is less developed, can struggle against strong wrestlers, sometimes too focused on submissions"
Dave Herman,brawler,"powerful striking, durability, unorthodox techniques","defensive lapses, grappling defense, inconsistent fight IQ"
Jon Olav Einemo,submission specialist,"elite grappling, strong positional control, effective submissions","striking defense, cardio issues, reliance on ground game"
Edward Faaloloto,striker,"explosive power, quick footwork, diverse striking arsenal","takedown defense, susceptibility to pressure, limited grappling"
Ricardo Lamas,well-rounded fighter,"solid wrestling, effective striking, good fight IQ","occasional overreliance on wrestling, can be outpaced, injury-prone"
Javier Vazquez,technical grappler,"high-level grappling, strategic approach, submission proficiency","limited striking power, slower pace, can struggle against aggressive opponents"
Jeff Hougland,technical striker,"excellent footwork, strong boxing fundamentals, good defensive skills","limited grappling, can be outpaced by aggressive fighters, struggles against powerful strikers"
Donny Walker,brawler,"heavy hands, relentless pressure, high durability","defensive vulnerabilities, lacks finesse in technique, can be outmaneuvered"
Dominick Cruz,elusive striker,"unorthodox movement, exceptional footwork, high fight IQ","injury-prone, can be outwrestled, sometimes overly reliant on movement"
Paul Bradley,pressure wrestler,"strong grappling base, effective takedowns, cardio for sustained pressure","limited striking range, can be outpaced on the feet, susceptible to submissions"
Jimy Hettes,submission specialist,"high-level grappling, effective in transitions, strong submission game","striking can be lacking, may struggle against powerful wrestlers, can be taken down"
Ronny Markes,pressure wrestler,"strong grappling, effective takedowns, cardio endurance","limited striking variety, vulnerability to submissions"
Iuri Alcantara,well-rounded technician,"versatile striking, solid grappling, experience","inconsistent fight pace, susceptibility to pressure"
Felipe Arantes,striker with ground skills,"powerful striking, good footwork, submission ability","defensive grappling, tendency to engage in brawls"
Erick Silva,explosive striker,"fast hands, knockout power, athleticism","defensive lapses, stamina issues in later rounds"
Luis Ramos,technical striker,"precise striking, good movement, tactical awareness","grappling defense, lack of finishing ability"
Johnny Eduardo,striker,"powerful punches, good footwork, effective counter-striking","defensive grappling, stamina issues, limited ground game"
Stanislav Nedkov,pressure fighter,"strong clinch work, relentless pace, good takedown defense","limited striking variety, susceptibility to leg kicks, cardio management"
Jorge Lopez,brawler,"high volume striking, toughness, aggressive fighting style","defensive vulnerabilities, lack of technical precision, grappling defense"
Robert Peralta,well-rounded,"versatile skill set, solid wrestling, effective striking","inconsistent fight IQ, occasional lack of urgency, defensive lapses"
Mike Stumpf,submission specialist,"excellent grappling, strong submission game, good positional control","striking defense, reliance on ground game, cardio in striking exchanges"
Lance Benoist,well-rounded technician,"solid grappling, effective striking, good fight IQ","limited knockout power, sometimes hesitant to engage"
Eddie Yagin,brawler,"powerful striking, relentless pressure, strong chin","defensive lapses, susceptibility to takedowns"
Walel Watson,striker with submission skills,"dynamic striking, creative techniques, submission threat","inconsistent defense, cardio issues in later rounds"
Joseph Sandoval,pressure fighter,"high volume striking, aggressive pace, strong clinch work","vulnerable to counterattacks, can tire quickly"
Mike Easton,grappler with striking,"strong wrestling, effective ground control, decent striking","limited finishing ability, can struggle against elite strikers"
Byron Bloodworth,striker,"powerful striking, good footwork, effective counterattacks","defensive grappling, stamina issues, limited ground game"
Stipe Miocic,well-rounded,"strong wrestling base, effective boxing, high fight IQ","occasional defensive lapses, slower pace in later rounds, limited submission attempts"
Dustin Jacoby,kickboxer,"dynamic striking, excellent range control, solid takedown defense","vulnerability to grappling exchanges, inconsistent pressure, sometimes overcommits"
Clifford Starks,wrestler,"strong takedowns, effective ground control, good cardio","limited striking versatility, struggles against high-level strikers, can be outpaced"
Francis Carmont,grappler,"effective submissions, strong clinch game, good positional control","striking defense, slow pace, can be outmaneuvered on feet"
Bart Palaszewski,striker,"powerful punches, effective kicks, good footwork","defensive grappling, susceptibility to takedowns, inconsistent fight IQ"
Hatsu Hioki,submission specialist,"high-level grappling, excellent submissions, strong positional control","striking defense, lack of knockout power, tendency to be outpaced"
Vaughan Lee,grappler,"solid wrestling, effective transitions, cardio endurance","limited striking output, vulnerability to powerful strikers, sometimes overly reliant on grappling"
Che Mills,striker,"technical striking, diverse attack, good range management","grappling defense, lack of ground game, can be pressured easily"
Philip De Fries,pressure wrestler,"strong takedown ability, relentless pace, effective ground control","striking limitations, cardio issues in later rounds, can struggle against skilled strikers"
John Maguire,submission specialist,"high-level grappling, effective submissions, strong positional control","limited striking power, can struggle against aggressive strikers, cardio issues in later rounds"
Papy Abedi,brawler,"powerful striking, aggressive fighting style, good chin","defensive vulnerabilities, limited grappling skills, can be reckless in exchanges"
Brad Pickett,pressure fighter,"high output striking, relentless pace, strong boxing fundamentals","susceptible to counter-strikes, can be taken down, durability concerns in later rounds"
Matt Lucas,technical striker,"precise striking, good footwork, solid defensive skills","lacks finishing ability, can be outpaced, struggles against grapplers"
Darren Uyenoyama,all-around fighter,"versatile skill set, good grappling and striking balance, effective in transitions","inconsistent performance, can be outmuscled, stamina issues in prolonged fights"
Cub Swanson,striker,"dynamic striking, powerful kicks, experience in high-pressure situations","defensive grappling, susceptibility to takedowns, occasional overcommitment in exchanges"
Alex Soto,well-rounded,"versatile skill set, solid grappling, effective striking","inconsistent fight IQ, lacks knockout power, can be outpaced by faster opponents"
Cung Le,kickboxer,"creative striking, exceptional footwork, strong clinch game","limited ground game, aging athleticism, vulnerability to wrestling"
Bryan Caraway,grappler,"strong submission skills, effective wrestling, good fight IQ","striking defense, limited knockout power, can struggle against high-level strikers"
Dustin Neace,brawler,"aggressive fighting style, durability, willingness to engage","defensive lapses, lacks technical finesse, can be outmaneuvered"
Steven Siler,well-rounded striker,"effective striking, solid grappling defense, good cardio","inconsistent fight IQ, vulnerability to pressure, limited finishing ability"
Josh Clopton,pressure wrestler,"strong takedowns, relentless pace, effective ground control","striking defense issues, limited striking output, can tire in later rounds"
Roland Delorme,submission specialist,"excellent grappling skills, high-level submissions, good at creating scrambles","striking can be lacking, struggles against powerful strikers, sometimes overly focused on submissions"
Josh Ferguson,aggressive brawler,"powerful striking, high-pressure fighting style, strong chin","defensive lapses, can be reckless, limited grappling skills"
Dustin Pague,technical striker,"sharp boxing, good footwork, effective counter-striking","grappling defense can be exploited, sometimes hesitant to engage, stamina concerns in later rounds"
John Albert,scrappy striker,"high volume striking, good cardio, durability","defensive lapses, susceptibility to takedowns"
Marcus Brimage,power puncher,"explosive striking, knockout power, aggressive pace","limited grappling, defensive vulnerabilities"
Stephen Bass,technical grappler,"solid wrestling, submission skills, fight IQ","striking defense, limited striking output"
Louis Gaudinot,submission specialist,"excellent grappling, slick submissions, good transitions","striking inconsistency, struggles against powerful strikers"
Johnny Bedford,pressure fighter,"high pressure, relentless pace, strong clinch work","tendency to get hit, cardio management issues"
TJ Dillashaw,dynamic striker,"excellent footwork, high output volume, strong wrestling base","susceptible to power punches, sometimes overcommits on strikes"
John Dodson,explosive counter-striker,"lightning-fast speed, powerful punches, solid grappling defense","inconsistent output, can struggle against pressure fighters"
Diego Brandao,aggressive brawler,"heavy hands, relentless pace, strong grappling skills","defensive lapses, tends to gas out in later rounds"
Dennis Bermudez,pressure wrestler,"high-level wrestling, cardio, effective ground-and-pound","limited striking variety, can be outpaced by faster opponents"
Mitch Clarke,submission specialist,"strong grappling, effective submissions, good fight IQ","striking is not as polished, can be taken down by stronger wrestlers"
John Cholish,well-rounded technician,"solid grappling, effective striking, good fight IQ","limited knockout power, sometimes overly cautious"
Jake Hecht,pressure wrestler,"strong takedowns, relentless pace, cardio","striking defense, susceptibility to submissions"
Alistair Overeem,striking powerhouse,"devastating knockout power, diverse striking arsenal, experience","vulnerability to grappling, chin concerns"
Antonio Carvalho,submission specialist,"high-level grappling, creativity in submissions, tactical awareness","striking limitations, can be outpaced"
Ednaldo Oliveira,brawler,"aggressive striking, high volume, resilience","defensive lapses, cardio issues in later rounds"
Carlo Prater,technical striker,"excellent footwork, diverse striking arsenal, strong defensive skills","limited knockout power, can struggle against aggressive opponents"
Nick Denis,brawler,"powerful punches, high pressure, relentless pace","defensive vulnerabilities, tends to engage in wild exchanges"
Daniel Pineda,submission specialist,"high-level grappling, effective submissions, strong positional control","striking defense can be lacking, may struggle against stand-up fighters"
Pat Schilling,pressure wrestler,"strong takedown ability, relentless forward movement, cardio endurance","limited striking skills, can be outpaced by faster opponents"
Tommy Hayden,all-around fighter,"versatile skill set, adaptability in fights, solid grappling and striking","lacks specialization, may not excel in any one area"
Khabib Nurmagomedov,pressure wrestler,"exceptional grappling, relentless pace, strong ground control","limited striking variety, potential gas tank issues in later rounds"
Jared Papazian,brawler,"aggressive striking, high volume output, durability","defensive vulnerabilities, susceptibility to counter strikes"
Lavar Johnson,striker,"powerful punches, knockout ability, solid boxing technique","limited grappling defense, stamina concerns in prolonged fights"
Eric Wisely,submission specialist,"high-level grappling, effective submissions, adaptability on the ground","striking defense, reliance on ground game"
Dan Stittgen,well-rounded fighter,"versatile skill set, good cardio, effective striking and grappling","lacks elite finishing ability, may struggle against specialists"
Stephen Thompson,striker,"exceptional striking accuracy, dynamic footwork, effective distance management","vulnerability to grappling, limited ground game, can be outpaced by aggressive fighters"
Michael Kuiper,grappler,"strong wrestling base, effective submissions, good control on the ground","striking defense can be lacking, struggles against high-level strikers, cardio issues in later rounds"
Henry Martinez,brawler,"powerful striking, relentless pressure, ability to absorb damage","defensive lapses, limited technical striking, can be outmaneuvered by faster opponents"
Max Holloway,volume striker,"high output striking, exceptional cardio, effective at controlling the pace","defensive vulnerabilities, can be outwrestled, occasionally overcommits to strikes"
Tim Means,striker with grappling,"well-rounded striking, effective clinch work, strong takedown defense","occasionally lacks urgency, can struggle against elite grapplers, defensive lapses in exchanges"
Bernardo Magalhaes,submission specialist,"high-level grappling, effective submissions, strong positional control","limited striking, vulnerability to stand-up exchanges, inconsistent cardio"
Anton Kuivanen,technical striker,"precise striking, good footwork, solid defensive skills","struggles against aggressive opponents, limited grappling, can be outpaced"
Justin Salas,pressure wrestler,"relentless pace, effective takedowns, strong ground-and-pound","susceptible to submissions, limited striking variety, can tire in later rounds"
Issei Tamura,brawler,"powerful punches, aggressive fighting style, high durability","defensive lapses, limited technical striking, can be outmaneuvered"
Eiji Mitsuoka,all-rounder,"versatile skill set, adaptability in fights, solid grappling and striking","lacks specialization, can be outperformed in specific areas, inconsistent fight IQ"
Oli Thompson,power striker,"explosive striking, knockout power, solid grappling defense","limited cardio, susceptibility to submissions, inconsistent footwork"
Shawn Jordan,athletic brawler,"strong physicality, heavy hands, effective ground-and-pound","defensive vulnerabilities, reliance on power, grappling technique gaps"
Andrew Craig,well-rounded technician,"versatile striking, solid wrestling, good fight IQ","lacks finishing ability, can be outpaced, sometimes hesitant to engage"
Nick Penner,pressure fighter,"high output striking, relentless pace, strong clinch work","defensive lapses, cardio management issues, limited submission skills"
Ian McCall,speedy grappler,"quick footwork, excellent wrestling, effective transitions","striking power concerns, durability questions, inconsistent performance"
Yasuhiro Urushitani,striker,"excellent footwork, powerful kicks, strong boxing fundamentals","vulnerability to grappling, inconsistent defense against pressure"
Simeon Thoresen,grappler,"solid wrestling base, effective submissions, good cardio","limited striking output, struggles against high-level strikers"
Besam Yousef,brawler,"aggressive striking, knockout power, high pressure","defensive lapses, susceptibility to counterattacks"
Reza Madadi,submission specialist,"high-level grappling, strong positional control, effective in scrambles","striking can be underwhelming, can be outpaced by faster opponents"
Yoislandy Izquierdo,technical striker,"precise striking, good timing, effective distance management","can be hesitant to engage, struggles against relentless pressure"
Magnus Cedenblad,submission specialist,"high-level grappling, effective transitions, strong submission game","striking defense, cardio concerns, limited striking output"
Tom DeBlass,pressure wrestler,"solid wrestling base, relentless pace, effective ground control","striking vulnerability, limited striking variety, can be outpaced"
Siyar Bahadurzada,brawler,"powerful striking, aggressive style, knockout potential","defensive liabilities, susceptibility to takedowns, stamina issues"
Maximo Blanco,dynamic striker,"explosive speed, diverse striking techniques, adaptability","defensive gaps, inconsistent fight IQ, grappling defense"
Chris Clements,striking technician,"precise striking, good footwork, effective counter-striking","grappling defense, can be pressured, limited wrestling skills"
Chad Griggs,brawler,"powerful striking, aggressive pace, durable chin","limited technical skills, susceptibility to grappling, inconsistent defense"
John Lineker,pressure striker,"heavy hands, relentless forward movement, excellent body shots","defensive vulnerabilities, low output at range, can be taken down"
Tim Elliott,scrambler,"unorthodox striking, high-level grappling, exceptional cardio","defensive lapses, inconsistent striking accuracy, can struggle against pressure"
Marcus LeVesseur,wrestling specialist,"strong takedowns, control on the ground, effective submission game","limited striking, can be outpaced, struggles against high-level strikers"
Glover Teixeira,technical striker,"well-rounded skills, powerful grappling, high fight IQ","aging reflexes, can be outpaced, vulnerability to quick fighters"
